sku_id,product_name,category,brand,unit_size
PRD-00001,Lumen Bread,Breads,Lumen,0.33 g
PRD-00002,Solix Mea,Meat,Solix,0.5 ml
PRD-00003,Draco Seafoo,Seafood,Draco,1.25 pcs
PRD-00004,Helios Confectioner,Confectionery,Helios,0.33 ml
PRD-00005,Polar Beverage,Beverages,Polar,4 l
PRD-00006,Quanta Grocer,Grocery,Quanta,1.75 g
PRD-00007,Mira Cleanin,Cleaning,Mira,0.33 kg
PRD-00008,Argo Beaut,Beauty,Argo,0.75 g
PRD-00009,Terra Bab,Baby,Terra,4 g
PRD-00010,Flux Pet,Pets,Flux,1 kg
PRD-00011,Lumen Bread,Breads,Lumen,0.33 ml
PRD-00012,Solix Mea,Meat,Solix,0.5 l
PRD-00013,Draco Seafoo,Seafood,Draco,2 pcs
PRD-00014,Helios Confectioner,Confectionery,Helios,0.33 g
PRD-00015,Polar Beverage,Beverages,Polar,3 pcs
PRD-00016,Quanta Grocer,Grocery,Quanta,0.33 pcs
PRD-00017,Mira Cleanin,Cleaning,Mira,0.75 kg
PRD-00018,Argo Beaut,Beauty,Argo,0.33 g
PRD-00019,Terra Bab,Baby,Terra,2 l
PRD-00020,Flux Pet,Pets,Flux,3 g
PRD-00021,Lumen Bread,Breads,Lumen,3 pcs
PRD-00022,Solix Mea,Meat,Solix,1.25 g
PRD-00023,Draco Seafoo,Seafood,Draco,4 ml
PRD-00024,Helios Confectioner,Confectionery,Helios,1 l
PRD-00025,Polar Beverage,Beverages,Polar,4 l
PRD-00026,Quanta Grocer,Grocery,Quanta,1.75 pcs
PRD-00027,Mira Cleanin,Cleaning,Mira,2 l
PRD-00028,Argo Beaut,Beauty,Argo,2 l
PRD-00029,Terra Bab,Baby,Terra,3 l
PRD-00030,Flux Pet,Pets,Flux,2 g
PRD-00031,Lumen Bread,Breads,Lumen,4 pcs
PRD-00032,Solix Mea,Meat,Solix,0.75 pcs
PRD-00033,Draco Seafoo,Seafood,Draco,3 g
PRD-00034,Helios Confectioner,Confectionery,Helios,0.75 g
PRD-00035,Polar Beverage,Beverages,Polar,1.75 l
PRD-00036,Quanta Grocer,Grocery,Quanta,2 pcs
PRD-00037,Mira Cleanin,Cleaning,Mira,3 ml
PRD-00038,Argo Beaut,Beauty,Argo,1.75 pcs
PRD-00039,Terra Bab,Baby,Terra,1 l
PRD-00040,Flux Pet,Pets,Flux,0.5 g
PRD-00041,Lumen Bread,Breads,Lumen,0.33 g
PRD-00042,Solix Mea,Meat,Solix,1 ml
PRD-00043,Draco Seafoo,Seafood,Draco,4 l
PRD-00044,Helios Confectioner,Confectionery,Helios,0.33 g
PRD-00045,Polar Beverage,Beverages,Polar,3 kg
PRD-00046,Quanta Grocer,Grocery,Quanta,4 ml
PRD-00047,Mira Cleanin,Cleaning,Mira,0.75 kg
PRD-00048,Argo Beaut,Beauty,Argo,4 ml
PRD-00049,Terra Bab,Baby,Terra,2 ml
PRD-00050,Flux Pet,Pets,Flux,0.33 pcs
PRD-00051,Lumen Bread,Breads,Lumen,0.75 ml
PRD-00052,Solix Mea,Meat,Solix,1 pcs
PRD-00053,Draco Seafoo,Seafood,Draco,1.25 g
PRD-00054,Helios Confectioner,Confectionery,Helios,1.25 ml
PRD-00055,Polar Beverage,Beverages,Polar,2 pcs
PRD-00056,Quanta Grocer,Grocery,Quanta,0.5 l
PRD-00057,Mira Cleanin,Cleaning,Mira,0.5 l
PRD-00058,Argo Beaut,Beauty,Argo,1.75 pcs
PRD-00059,Terra Bab,Baby,Terra,0.5 ml
PRD-00060,Flux Pet,Pets,Flux,0.33 l
PRD-00061,Lumen Bread,Breads,Lumen,2 pcs
PRD-00062,Solix Mea,Meat,Solix,4 ml
PRD-00063,Draco Seafoo,Seafood,Draco,0.33 g
PRD-00064,Helios Confectioner,Confectionery,Helios,1.25 ml
PRD-00065,Polar Beverage,Beverages,Polar,0.33 l
PRD-00066,Quanta Grocer,Grocery,Quanta,1.75 ml
PRD-00067,Mira Cleanin,Cleaning,Mira,1.75 pcs
PRD-00068,Argo Beaut,Beauty,Argo,0.75 ml
PRD-00069,Terra Bab,Baby,Terra,0.5 kg
PRD-00070,Flux Pet,Pets,Flux,1.75 kg
PRD-00071,Lumen Bread,Breads,Lumen,0.5 pcs
PRD-00072,Solix Mea,Meat,Solix,4 ml
PRD-00073,Draco Seafoo,Seafood,Draco,4 g
PRD-00074,Helios Confectioner,Confectionery,Helios,0.75 g
PRD-00075,Polar Beverage,Beverages,Polar,2 g
PRD-00076,Quanta Grocer,Grocery,Quanta,0.75 l
PRD-00077,Mira Cleanin,Cleaning,Mira,1.75 l
