sales_date,sku_id,dc_id,qty,unit_weight,is_promo
2023-07-03,PRD-00017,89,192,5.68,0
2023-07-04,PRD-00065,59,286,3.29,0
2023-07-09,PRD-00073,16,288,1.67,0
2023-07-15,PRD-00044,15,115,3.56,0
2023-07-17,PRD-00107,141,264,4.58,1
2023-07-18,PRD-00092,17,104,9.55,0
2023-07-18,PRD-00109,29,211,4.29,0
2023-08-09,PRD-00012,64,105,5.5,0
2023-08-16,PRD-00004,74,117,0.19,0
2023-08-17,PRD-00128,61,65,5.55,1
2023-08-21,PRD-00043,33,142,8.05,0
2023-08-26,PRD-00051,143,199,2.51,0
2023-08-28,PRD-00012,1,166,9.0,0
2023-08-30,PRD-00069,140,74,4.47,0
2023-09-04,PRD-00135,68,129,9.52,1
2023-09-06,PRD-00043,108,212,0.49,0
2023-09-07,PRD-00136,143,256,13.33,0
2023-09-12,PRD-00050,95,33,0.34,0
2023-09-12,PRD-00078,95,15,1.99,0
2023-09-15,PRD-00128,34,233,11.68,1
2023-09-16,PRD-00120,107,264,0.78,0
2023-09-25,PRD-00058,9,264,10.69,0
2023-09-26,PRD-00073,75,284,14.57,0
2023-09-27,PRD-00136,90,224,13.09,0
2023-09-27,PRD-00024,81,188,10.68,1
2023-10-01,PRD-00027,1,295,14.38,0
2023-10-05,PRD-00114,90,298,6.5,0
2023-10-07,PRD-00140,130,158,13.11,0
2023-10-08,PRD-00143,1,191,5.4,0
2023-10-08,PRD-00072,76,199,13.95,1
2023-10-15,PRD-00050,21,15,2.32,0
2023-10-15,PRD-00134,97,141,14.11,0
2023-10-18,PRD-00018,48,250,12.51,0
2023-10-20,PRD-00101,84,286,12.71,0
2023-10-22,PRD-00105,114,72,1.95,1
2023-11-01,PRD-00115,27,120,8.99,0
2023-11-07,PRD-00029,137,12,0.34,0
2023-11-08,PRD-00016,51,230,10.85,0
2023-11-13,PRD-00146,103,172,0.22,0
2023-11-13,PRD-00111,19,225,1.36,1
2023-11-17,PRD-00112,50,142,3.46,0
2023-11-18,PRD-00133,53,173,13.14,0
2023-11-19,PRD-00092,92,220,5.52,0
2023-11-24,PRD-00040,110,237,8.15,0
2023-12-02,PRD-00127,124,94,8.56,1
2023-12-06,PRD-00035,73,49,3.46,0
2023-12-24,PRD-00050,142,97,8.62,0
2023-12-28,PRD-00055,140,113,9.95,0
