dc_id,dc_code,dc_name,city,region
1,ST1001,Store #1001,Kyiv,Kyivska
2,ST1002,Store #1002,Lviv,Lvivska
3,ST1003,Store #1003,Odesa,Odeska
4,ST1004,Store #1004,Kharkiv,Kharkivska
5,ST1005,Store #1005,Dnipro,Dnipropetrovska
6,ST1006,Store #1006,Zhytomyr,Zhytomyrska
7,ST1007,Store #1007,Ivano-Frankivsk,Ivano-Frankivska
8,ST1008,Store #1008,Lutsk,Volynska
9,ST1009,Store #1009,Rivne,Rivnenska
10,ST1010,Store #1010,Uzhhorod,Zakarpatska
11,ST1011,Store #1011,Kyiv,Kyivska
12,ST1012,Store #1012,Lviv,Lvivska
13,ST1013,Store #1013,Odesa,Odeska
14,ST1014,Store #1014,Kharkiv,Kharkivska
15,ST1015,Store #1015,Dnipro,Dnipropetrovska
16,ST1016,Store #1016,Zhytomyr,Zhytomyrska
17,ST1017,Store #1017,Ivano-Frankivsk,Ivano-Frankivska
18,ST1018,Store #1018,Lutsk,Volynska
19,ST1019,Store #1019,Rivne,Rivnenska
20,ST1020,Store #1020,Uzhhorod,Zakarpatska
21,ST1021,Store #1021,Kyiv,Kyivska
22,ST1022,Store #1022,Lviv,Lvivska
23,ST1023,Store #1023,Odesa,Odeska
24,ST1024,Store #1024,Kharkiv,Kharkivska
25,ST1025,Store #1025,Dnipro,Dnipropetrovska
26,ST1026,Store #1026,Zhytomyr,Zhytomyrska
27,ST1027,Store #1027,Ivano-Frankivsk,Ivano-Frankivska
28,ST1028,Store #1028,Lutsk,Volynska
29,ST1029,Store #1029,Rivne,Rivnenska
30,ST1030,Store #1030,Uzhhorod,Zakarpatska
31,ST1031,Store #1031,Kyiv,Kyivska
32,ST1032,Store #1032,Lviv,Lvivska
33,ST1033,Store #1033,Odesa,Odeska
34,ST1034,Store #1034,Kharkiv,Kharkivska
35,ST1035,Store #1035,Dnipro,Dnipropetrovska
36,ST1036,Store #1036,Zhytomyr,Zhytomyrska
37,ST1037,Store #1037,Ivano-Frankivsk,Ivano-Frankivska
38,ST1038,Store #1038,Lutsk,Volynska
39,ST1039,Store #1039,Rivne,Rivnenska
40,ST1040,Store #1040,Uzhhorod,Zakarpatska
41,ST1041,Store #1041,Kyiv,Kyivska
42,ST1042,Store #1042,Lviv,Lvivska
43,ST1043,Store #1043,Odesa,Odeska
44,ST1044,Store #1044,Kharkiv,Kharkivska
45,ST1045,Store #1045,Dnipro,Dnipropetrovska
46,ST1046,Store #1046,Zhytomyr,Zhytomyrska
47,ST1047,Store #1047,Ivano-Frankivsk,Ivano-Frankivska
48,ST1048,Store #1048,Lutsk,Volynska
